County,Solds,Ave List Price,Ave Sold Price,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Number,Unnamed: 3
Macon,0.0,$0,$0,,,,,,,,,
Madison,13.0,"$306,000","$301,885",,,,,,,,,
Marion,0.0,$0,$0,,,,,,,,,
Mcduffie,2.0,"$182,450","$174,500",,,,,,,,,
Mcintosh,5.0,"$329,220","$308,570",,,,,,,,,
Meriwether,14.0,"$236,988","$228,474",,,,,,,,,
Mitchell,2.0,"$409,500","$372,350",,,,,,,,,
Monroe,27.0,"$331,779","$330,576",,,,,,,,,
Montgomery,1.0,"$132,000","$120,000",,,,,,,,,
Morgan,17.0,"$578,327","$565,086",,,,,,,,,
Murray,7.0,"$204,970","$195,857",,,,,,,,,
Muscogee,29.0,"$204,221","$199,428",,,,,,,,,
NC Counties,6.0,"$405,633","$383,833",,,,,,,,,
Newton,115.0,"$329,515","$323,029",,,,,,,,,
Oconee,25.0,"$573,371","$553,721",,,,,,,,,
Oglethorpe,13.0,"$276,584","$273,985",,,,,,,,,
Paulding,177.0,"$372,136","$363,837",,,,,,,,,
Peach,19.0,"$215,120","$214,288",,,,,,,,,
Pickens,40.0,"$429,235","$428,375",,,,,,,,,
Pierce,2.0,"$142,450","$129,288",,,,,,,,,
Pike,12.0,"$363,725","$356,230",,,,,,,,,
Polk,32.0,"$208,341","$204,128",,,,,,,,,
Pulaski,2.0,"$163,580","$171,830",,,,,,,,,
Putnam,20.0,"$607,345","$582,303",,,,,,,,,
Quitman,0.0,$0,$0,,,,,,,,,
Rabun,31.0,"$583,397","$556,143",,,,,,,,,
Randolph,0.0,$0,$0,,,,,,,,,
Randolph (AL),3.0,"$606,300","$566,667",,,,,,,,,
Richmond,1.0,"$320,000","$310,000",,,,,,,,,
Rockdale,88.0,"$349,514","$342,191",,,,,,,,,
Russell (AL),1.0,"$79,900","$79,900",,,,,,,,,
Sc Counties,3.0,"$509,633","$479,667",,,,,,,,,
Schley,1.0,"$285,000","$287,000",,,,,,,,,
Screven,1.0,"$99,500","$100,000",,,,,,,,,
Spalding,68.0,"$277,372","$276,650",,,,,,,,,
Stephens,23.0,"$248,700","$245,004",,,,,,,,,
Stewart,1.0,"$325,000","$318,000",,,,,,,,,
Sumter,1.0,"$150,000","$147,000",,,,,,,,,
Talbot,2.0,"$324,900","$348,650",,,,,,,,,
Taliaferro,0.0,$0,$0,,,,,,,,,
Talladega (AL),0.0,$0,$0,,,,,,,,,
Tattnall,3.0,"$254,633","$257,300",,,,,,,,,
Taylor,3.0,"$286,633","$284,633",,,,,,,,,
Telfair,2.0,"$110,425","$103,475",,,,,,,,,
Terrell,0.0,$0,$0,,,,,,,,,
Thomas,1.0,"$282,000","$265,000",,,,,,,,,
Tift,1.0,"$149,900","$151,000",,,,,,,,,
Tn Counties,0.0,$0,$0,,,,,,,,,
Toombs,2.0,"$704,500","$704,500",,,,,,,,,
Towns,9.0,"$345,144","$336,400",,,,,,,,,
Treutlen,1.0,"$39,900","$52,100",,,,,,,,,
Troup,63.0,"$251,846","$249,249",,,,,,,,,
Turner,1.0,"$130,000","$130,000",,,,,,,,,
Twiggs,1.0,"$350,000","$318,500",,,,,,,,,
Union,25.0,"$494,200","$471,174",,,,,,,,,
Upson,19.0,"$242,082","$229,774",,,,,,,,,
Walker,7.0,"$359,500","$335,248",,,,,,,,,
Walton,106.0,"$408,608","$403,402",,,,,,,,,
Ware,2.0,"$229,450","$226,200",,,,,,,,,
Warren,0.0,$0,$0,,,,,,,,,
Washington,6.0,"$182,650","$166,000",,,,,,,,,
Wayne,3.0,"$165,967","$161,667",,,,,,,,,
Wheeler,1.0,"$65,000","$65,000",,,,,,,,,
White,20.0,"$398,593","$377,386",,,,,,,,,
Whitfield,6.0,"$255,467","$242,000",,,,,,,,,
Wilcox,1.0,"$739,900","$730,000",,,,,,,,,
Wilkes,0.0,$0,$0,,,,,,,,,
Wilkinson,3.0,"$116,000","$114,333",,,,,,,,,
Worth,0.0,$0,$0,,,,,,,,,
Al Counties,2.0,"$166,000","$170,500",,,,,,,,,
Appling,5.0,"$193,380","$182,500",,,,,,,,,
Bacon,1.0,"$37,500","$30,000",,,,,,,,,
Baldwin,24.0,"$352,065","$341,204",,,,,,,,,
Baldwin (AL),0.0,$0,$0,,,,,,,,,
Banks,12.0,"$382,233","$378,980",,,,,,,,,
Barrow,72.0,"$362,275","$346,690",,,,,,,,,
Bartow,67.0,"$349,492","$346,834",,,,,,,,,
Ben Hill,1.0,"$289,900","$289,900",,,,,,,,,
Berrien,0.0,$0,$0,,,,,,,,,
Bibb,83.0,"$206,231","$201,246",,,,,,,,,
Bleckley,2.0,"$147,450","$140,000",,,,,,,,,
Brantley,3.0,"$201,667","$201,667",,,,,,,,,
Brooks,0.0,$0,$0,,,,,,,,,
Bryan,11.0,"$431,068","$410,551",,,,,,,,,
Bulloch,47.0,"$326,862","$322,777",,,,,,,,,
Burke,2.0,"$122,000","$118,000",,,,,,,,,
Butts,16.0,"$426,053","$406,778",,,,,,,,,
Calhoun,0.0,$0,$0,,,,,,,,,
Calhoun (AL),0.0,$0,$0,,,,,,,,,
Camden,48.0,"$338,716","$332,919",,,,,,,,,
Candler,3.0,"$343,267","$340,833",,,,,,,,,
Carroll,72.0,"$372,201","$364,395",,,,,,,,,
Catoosa,2.0,"$254,450","$258,250",,,,,,,,,
Chambers (AL),14.0,"$177,557","$163,679",,,,,,,,,
Charlton,3.0,"$186,600","$192,499",,,,,,,,,
Chatham,14.0,"$395,271","$383,571",,,,,,,,,
Chattahoochee,0.0,$0,$0,,,,,,,,,
Chattooga,10.0,"$167,600","$155,933",,,,,,,,,
Cherokee,206.0,"$599,793","$588,841",,,,,,,,,
Cherokee (AL),2.0,"$439,950","$433,500",,,,,,,,,
Clarke,38.0,"$462,971","$449,058",,,,,,,,,
Clay,0.0,$0,$0,,,,,,,,,
Clayton,149.0,"$258,963","$254,266",,,,,,,,,
Cleburne (AL),2.0,"$537,000","$522,000",,,,,,,,,
Clinch,0.0,$0,$0,,,,,,,,,
Cobb,351.0,"$518,087","$508,687",,,,,,,,,
Coffee,1.0,"$149,900","$146,000",,,,,,,,,
Colquitt,2.0,"$262,500","$227,500",,,,,,,,,
Columbia,3.0,"$258,267","$246,667",,,,,,,,,
Cook,0.0,$0,$0,,,,,,,,,
Coweta,147.0,"$468,589","$463,402",,,,,,,,,
Crawford,2.0,"$329,900","$327,450",,,,,,,,,
Crisp,5.0,"$265,200","$259,400",,,,,,,,,
Dade,0.0,$0,$0,,,,,,,,,
Dawson,32.0,"$591,255","$575,020",,,,,,,,,
Decatur,0.0,$0,$0,,,,,,,,,
DeKalb,365.0,"$486,619","$480,407",,,,,,,,,
DeKalb (AL),0.0,$0,$0,,,,,,,,,
Dodge,5.0,"$364,380","$352,600",,,,,,,,,
Dooly,0.0,$0,$0,,,,,,,,,
Dougherty,3.0,"$163,300","$163,000",,,,,,,,,
Douglas,110.0,"$376,912","$367,054",,,,,,,,,
Early,1.0,"$355,000","$390,000",,,,,,,,,
Effingham,17.0,"$347,729","$342,459",,,,,,,,,
Elbert,9.0,"$205,422","$202,639",,,,,,,,,
Emanuel,7.0,"$232,657","$222,486",,,,,,,,,
Evans,3.0,"$580,000","$528,333",,,,,,,,,
Fannin,40.0,"$810,221","$774,993",,,,,,,,,
Fayette,92.0,"$531,712","$519,793",,,,,,,,,
Fl Counties,0.0,$0,$0,,,,,,,,,
Floyd,64.0,"$252,121","$243,401",,,,,,,,,
Forsyth,146.0,"$680,844","$673,481",,,,,,,,,
Franklin,14.0,"$271,825","$258,492",,,,,,,,,
Fulton,428.0,"$615,336","$602,745",,,,,,,,,
Gilmer,42.0,"$532,936","$511,201",,,,,,,,,
Glascock,0.0,$0,$0,,,,,,,,,
Glynn,24.0,"$560,020","$540,223",,,,,,,,,
Gordon,41.0,"$322,455","$319,942",,,,,,,,,
Grady,2.0,"$222,000","$219,500",,,,,,,,,
Greene,24.0,"$939,685","$911,006",,,,,,,,,
Gwinnett,490.0,"$467,522","$462,114",,,,,,,,,
Habersham,34.0,"$403,297","$391,472",,,,,,,,,
Hall,117.0,"$526,318","$519,287",,,,,,,,,
Hancock,4.0,"$629,075","$613,125",,,,,,,,,
Haralson,23.0,"$319,143","$314,965",,,,,,,,,
Harris,22.0,"$429,005","$424,736",,,,,,,,,
Hart,23.0,"$438,559","$427,000",,,,,,,,,
Heard,7.0,"$367,671","$348,429",,,,,,,,,
Henry,207.0,"$400,078","$396,120",,,,,,,,,
Houston,97.0,"$286,687","$282,397",,,,,,,,,
Irwin,0.0,$0,$0,,,,,,,,,
Jackson,95.0,"$434,951","$430,862",,,,,,,,,
Jasper,19.0,"$325,642","$317,972",,,,,,,,,
Jeff Davis,2.0,"$112,000","$99,875",,,,,,,,,
Jefferson,0.0,$0,$0,,,,,,,,,
Jenkins,3.0,"$198,800","$191,333",,,,,,,,,
Johnson,5.0,"$117,780","$107,980",,,,,,,,,
Jones,6.0,"$267,717","$264,483",,,,,,,,,
Lamar,16.0,"$261,393","$250,881",,,,,,,,,
Lanier,0.0,$0,$0,,,,,,,,,
Laurens,18.0,"$216,431","$208,994",,,,,,,,,
Lee,1.0,"$219,900","$219,900",,,,,,,,,
Lee (AL),2.0,"$257,500","$208,000",,,,,,,,,
Liberty,18.0,"$270,344","$267,722",,,,,,,,,
Lincoln,1.0,"$190,000","$180,000",,,,,,,,,
Long,6.0,"$312,617","$314,950",,,,,,,,,
Lowndes,3.0,"$203,333","$203,333",,,,,,,,,
Lumpkin,26.0,"$484,181","$470,487",,,,,,,,,
Macon,0.0,$0,$0,,,,,,,,,
Madison,14.0,"$303,946","$287,493",,,,,,,,,
Marion,0.0,$0,$0,,,,,,,,,
